glyph_unified	src_ref	pronunciation	meaning
놮	U0-34903	ɡɯ²¹	磨损。
론	U0-34904	ɡɤ³³	串（量词）。
묎	U0-34905	ɡui³³	芽。
눔	U0-34906	ɡui¹³	（灭）绝。
똆	U0-34907	ɡuɛ³³	嫩芽。
똤	U0-34908	ɡuɑ³³	（中）雨。
붕	U0-34909	ɡie²¹	嘎，〖做嘎，祭祖，超度祖灵〗。
뿔	U0-34910	ᵑɡɪ⁵⁵	〖挑水桶〗。
끔	U0-34911	ᵑɡɪ³³	〖笔管草，节节草〗。
늉	U0-34912	ᵑɡɪ³³	骗。
범	U0-35001	ᵑɡɪ¹³	绾，〖绾绳子〗。勒骟（牛），〖骟牛〗。
뻨	U0-35002	ᵑɡɪ¹³	超（越）。
멛	U0-35003	ᵑɡɪ¹³	〖手铐〗。
릟	U0-35004	ᵑɡe³³	疥疮，〖生疥疮〗。〖水痘〗。
냓	U0-35005	ᵑɡe³³	矛。
냒	U0-35006	ᵑɡe³³	薹，〖菜薹〗。
봊	U0-35007	ᵑɡe²¹	直。正。
몘	U0-35008	ᵑɡe²¹	串（动词，量词）。
뽀	U0-35101	ᵑɡɛ¹³	〖青竹蛇〗。〖雄锦鸡〗。
땪	U0-35102	ᵑɡɑ⁵⁵	〖利益〗。〖营养〗。
뫕	U0-35103	ᵑɡɑ³³	〖撒遍〗，〖普及〗。
럑	U0-35104	ᵑɡɑ¹³	赶，撵，追，〖追麂子〗，〖撵走〗，〖追问〗。
뷓	U0-35105	ᵑɡɑ¹³	聘请。
믎	U0-35106	ᵑɡɑ¹³	寻找。
멝	U0-35107	ᵑɡɑ¹³	如，及。
대	U0-35108	ᵑɡɑ²¹	〖屋檐下〗。
덑	U0-35109	ᵑɡo³³	〖天井〗。
멜	U0-35110	ᵑɡo²¹	拖，拉。抽，吸。
빊	U0-35111	ᵑɡo²¹	撤除。
볝	U0-35201	ᵑɡo²¹	（头）屑。
놯	U0-35202	ᵑɡo²¹	门。
뻩	U0-35203	ᵑɡo²¹	消，〖消水〗，〖消肿〗。
땫	U0-35204	ᵑɡo²¹	退。
뚬	U0-35205	ᵑɡo²¹	散。
놰	U0-35206	ᵑɡo²¹	放，转。
뤗	U0-35207	ᵑɡu⁵⁵	（头）颅。
뻾	U0-35208	ᵑɡu⁵⁵	议论。交谈。
륵	U0-35209	ᵑɡu³³	荞。〖古嘎，个旧〗。
뺜	U0-35301	ᵑɡu³³	嚼。
뵸	U0-35302	ᵑɡu²¹	〖陶器〗。
뢻	U0-35303	ᵑɡu²¹	医治。
믣	U0-35304	ᵑɡu²¹	修理。
뺍	U0-35305	ᵑɡʊ²¹	方面。
뚭	U0-35306	ᵑɡʊ²¹	〖虎杖，酸汤杆〗。
믤	U0-35307	ᵑɡɯ⁵⁵	睡，死睡。
룊	U0-35308	ᵑɡɯ³³	枕，〖枕头〗。
늊	U0-35309	ᵑɡɯ³³	顶好，最好（古语）。
뎟	U0-35310	ᵑɡɯ³³	（穷骨皮上撞伤）起泡。
삦	U0-35311	ᵑɡɯ¹³	针刺，〖刺一针〗。
넿	U0-35401	ᵑɡɯ²¹	锥（动词）。
뱱	U0-35402	ᵑɡɯ²¹	寒。
뿥	U0-35403	ᵑɡɯ²¹	〖鹿子〗。
떿	U0-35404	ᵑɡɯ²¹	撂，〖撂棒〗。
덒	U0-35405	ᵑɡɯ²¹	明（天）。
눕	U0-35406	ᵑɡɯ²¹	（重叠词缀）〖结实〗。
녀	U0-35407	ᵑɡɯ²¹	（插）柴。
멞	U0-35408	ᵑɡɯ²¹	汇合。参与。〖开会〗。
뎎	U0-35409	ᵑɡɯ²¹	丢，扔。抛弃。
룐	U0-35410	ᵑɡɯ²¹	甩。甩开，摆开。
뚏	U0-35411	ᵑɡɯ²¹	〖可惜〗。
묏	U0-35501	ŋe³³	藕，〖莲藕〗。
됽	U0-35502	ŋe³³	〖肋骨〗。
뺝	U0-35503	ŋe³³	呆。
멠	U0-35504	ŋe³³	巫。
뫖	U0-35505	ŋe³³	〖茨菇〗。〖山药〗。
멟	U0-35506	ŋe²¹	占卜。〖法术〗。
뻪	U0-35507	ŋe²¹	圣，〖圣人〗，〖额主吐慕塔〗。
뫗	U0-35508	ŋe²¹	浊气。
뚐	U0-35509	ŋe²¹	摇晃。
몙	U0-35510	ŋɛ³³	（布谷鸟）叫。
릵	U0-35601	ŋɑ⁵⁵	扳（开），〖把门扳开〗。
몚	U0-35602	ŋɑ⁵⁵	孩（子）。
렞	U0-35603	ŋɑ³³	（词缀）〖很有精神〗。
뜘	U0-35604	ŋɑ³³	鸟，雀。
눖	U0-35605	ŋɑ³³	〖芭蕉〗。〖香蕉〗。
듳	U0-35606	ŋæ²¹	〖草鞋〗。
뾸	U0-35607	ŋɒ²¹	薯类。〖白薯〗。
룤	U0-35608	ŋo⁵⁵	（口）味。
뾽	U0-35609	ŋo⁵⁵	胸脯肉。〖胸膛〗。心窝骨。
믏	U0-35610	ŋo³³	（语气词）啊，吧。
뫀	U0-35611	ŋo³³	鱼。
뫘	U0-35701	ŋo³³	（往嘴里）灌。
멡	U0-35702	ŋo¹³	扳（弯，断）。〖弯钩，钩子〗。
륶	U0-35703	ŋo¹³	撬。
뵠	U0-35704	ŋo²¹	我们。
뜙	U0-35705	ŋo²¹	鹅。〖鄂莫〗〖俄洛吉勿博〗。
빤	U0-35706	ŋo²¹	瓦。
뫙	U0-35707	ŋo²¹	〖山楂〗。
뚮	U0-35708	ŋo²¹	点（头）。
룎	U0-35709	ŋɔ⁵⁵	〖（枪）扳机〗。
뜚	U0-35801	ŋu³³	五（数词）。
땬	U0-35802	ŋu³³	〖阴间〗，〖阴路〗。
놱	U0-35803	ŋu³³	借（要还原物），〖借书〗。〖无须〗。
뎠	U0-35804	ŋʊ²¹	我。
벫	U0-35805	ŋʊ²¹	语，言（古语）。
딏	U0-35806	ŋɯ⁵⁵	桩。
뢼	U0-35807	ŋɯ⁵⁵	柏（树）。
밧	U0-35808	ŋɯ⁵⁵	〖罗汉松，杉树〗。
뿃	U0-35809	ŋɯ⁵⁵	哀，〖哀乐〗，〖悲歌〗。
뱲	U0-35810	ŋɯ⁵⁵	侦察。
띷	U0-35811	ŋɯ³³	〖也许，可能〗。
뵡	U0-35812	ŋɯ³³	观，瞻。展望。
뗯	U0-35901	ŋɯ³³	（心）欠。
뻿	U0-35902	ŋɯ¹³	蒸，焖。
