glyph_unified	src_ref	pronunciation	meaning
	U1-06906		〖芒果〗。
	U1-07001		〖香芝麻花，（一种野生植物〗，其花，叶子古时曾作茶用）。
	U1-07002		网。
	U1-07003		臣。
	U1-07004		朝，向。
	U1-07005		教。指导。
	U1-07101		温暖。晒（太阳）。
	U1-07102		高。人名用词。
	U1-07103		昏。
	U1-07104		〖伤口〗。
	U1-07105		含。
	U1-07106		哑。
	U1-07201		〖球状物体〗。
	U1-07202		
	U1-07203		〖石头〗。
	U1-07204		〖木姜〗。
	U1-07205		麻（线，布）。
	U1-07206		〖什么〗。
	U1-07301		〖人名用词〗。表示惊讶。
	U1-07302		（母羊）舔（崽）。
	U1-07401		东。
	U1-07402		蒿枝。
	U1-07403		〖烟尘，扬尘，灰尘〗。
	U1-07404		宽阔。
	U1-07405		嘱咐。
	U1-07406		盆。
	U1-07501		穿（衣）〖使动〗。
	U1-07502		麻木。
	U1-07503		空。零。
	U1-07504		挑（使动）。
	U1-07505		左。
	U1-07601		甩。
	U1-07602		生意（古语）。
	U1-07603		权，政权。执法，司令。权势。
	U1-07604		招（手）。
	U1-07605		分（量词，钱币的量词）。
	U1-07606		干（燥）。穷（困）。
	U1-07701		放荡。
	U1-07702		〖茅草〗。
	U1-07703		岩。
	U1-07704		藏。
	U1-07801		罚。
	U1-07802		发（给）。
	U1-07803		（口，乳，胸）罩。
	U1-07804		1〖束手无策，没有办法〗。封。
	U1-07805		危及，威胁。
	U1-07806		镀（金银铜等）。
	U1-07807		孵（动词）。
	U1-07808		分（动词）。
	U1-07901		做（梦）。
	U1-07902		肉。
	U1-07903		宰，杀（牛）。
	U1-07904		王。
	U1-07905		富。
	U1-07906		婚姻。许配。
	U1-08001		适应。地名用词。
	U1-08101		（猪）叫。〖象声词〗。
	U1-08102		隐瞒。
	U1-08103		刀刃。（锋）芒。
	U1-08104		（鬼）作祟。冤衍。
	U1-08201		嘶叫。
	U1-08202		〖家族〗。〖古代人名〗。
	U1-08203		背子（名词）。背（量词）。
	U1-08204		犁（地）。
	U1-08205		用（用筷子，用钱）。
	U1-08206		豺。狼。
	U1-08301		稗。
	U1-08302		屁。
	U1-08303		花。
	U1-08304		（猫）抓。刨。
	U1-08305		扒（开）。
	U1-08306		
	U1-08307		（弟）兄。
	U1-08401		伯父。
	U1-08402		衣服。穿（衣服）。
	U1-08403		客（做客，客店）。
	U1-08404		瞅（眼）。斜（眼）。
	U1-08405		飞翔。
	U1-08501		傍晚。
	U1-08502		赢。
	U1-08503		横。歪，斜。
	U1-08504		排，行。
	U1-08505		买。
	U1-08506		圆（形）。
	U1-08507		左方。侍从。
	U1-08601		祖灵。
	U1-08602		
	U1-08603		蚂蝗。
	U1-08604		野山药（野苕（tiao））。
	U1-08605		搂。
	U1-08606		〖连续不断〗。笑呵呵。
	U1-08607		〖恐惧〗。
	U1-08701		（豹，狼等）叫。
	U1-08702		
	U1-08703		挑，担，扛。
	U1-08704		〖擦尔瓦〗。
	U1-08705		按（摩）。
	U1-08801		（两边）分开。
	U1-08802		
	U1-08803		卖。
	U1-08804		〖烦闷，烦躁。悲观。〗。
	U1-08805		鸡（古语）。（飞）禽。〖家〗。
	U1-08806		力。
	U1-08901		雪。
	U1-08902		〖小腿肚〗。
	U1-08903		疯。（牲畜）发情。
	U1-08904		磨（动词）。
	U1-08905		远。
	U1-08906		沤。
	U1-09001		蝙蝠。
	U1-09002		〖桃子〗。
	U1-09003		武（彝族先世中一个部族名称）。〖武慕（彝语指皇帝〗）。〖阿武（彝族支系名〗）。〖武僰（bo〗〖彝族先世武部族中僰人一支〗）。
	U1-09004		混沌。浑浊。
	U1-09005		浪费。
	U1-09101		麻（味）。
	U1-09102		泡沫。
	U1-09103		肠。
	U1-09104		〖犁板〗。
	U1-09105		进，入。
	U1-09106		安心。
	U1-09107		〖形容词缀〗。
	U1-09201		〖口水〗。
	U1-09301		〖蟋蟀〗。
	U1-09302		用餐毕。
	U1-09303		〖泄气〗。
	U1-09304		
	U1-09305		〖蚱蜢〗。
	U1-09401		密。
	U1-09402		催。
	U1-09403		储备。
	U1-09404		堆砌。
	U1-09405		节，关节。
	U1-09406		毛（虫）。
	U1-09501		〖驮魂马，（旧彝族祭死者，用以表示马“驮”其魂〗。
	U1-09502		刁难。责难，责备。
