glyph_unified	src_ref	pronunciation	meaning
얞	D0-10001	faŋ⁵⁵/faŋ³³/faŋ²¹	fang。【放大】，【放荡】…
얠	D0-10101	fo⁵⁵	缝隙。
얡	D0-10102	fo³³	惜；费。
씘	D0-10103	fo²¹	fo。【佛】，【佛事】…
얣	D0-10104	fou²¹	fou。【否决】，【否认】。
얤	D0-10105	fu⁵⁵	副；套（量词）。
쓼	D0-10106	fu⁵⁵	富（裕）。
얦	D0-10107	fu⁵⁵	镀。
얧	D0-10108	fu⁵⁵	负。
얨	D0-10109	fu⁵⁵/fu³³/fu²¹	fu。【讣告】，【讣文】…
얩	D0-10501	fu³³	防。
얪	D0-10502	fṵ³³	熏。
얫	D0-10503	fṵ³³	做（梦）。
얬	D0-10504	fṵ³³	捂。
얭	D0-10505	fṵ³³	痢。
얮	D0-10506	fṵ³³	泻。
얯	D0-10507	fṵ³³	笼（罩）。
얰	D0-10508	fṵ³³/xæ̰³³	拌。
얱	D0-10509	fṵ³³	滑坡。
얲	D0-10510	fu²¹/xu²¹	蛋（名词）。
얳	D0-10511	fu²¹	葫。
어	D0-10512	fu²¹	面酱。
억	D0-10513	fɤ⁵⁵	甩。
얘	D0-10514	fɤ⁵⁵	分（货币单位）。
얷	D0-10601	vi⁵⁵	自己。
언	D0-10602	vḭ³³	兄弟。
얹	D0-10603	vḭ³³	花（名词）；开（动词）。
얺	D0-10701	vḭ³³	昏花。
얻	D0-10702	vḭ³³	瞬（间）。
얼	D0-10703	vi²¹	麻。
얽	D0-10704	vi²¹/pᴀ²¹	麻。
얾	D0-10705	vi²¹	稗。
얿	D0-10706	vḭ²¹	穿（自动）。
엀	D0-10707	vḭ²¹	蛭；蚂蝗。
엁	D0-10708	vḭ²¹	前（面）。
언	D0-10709	vḭ²¹	宗族。
엃	D0-10710	ve⁵⁵	害；崇。
엄	D0-10801	vḛ³³	黏。
업	D0-10802	ve²¹	豺；狼。
없	D0-10803	ve²¹	背（量词）；负荷；担子。
엇	D0-10804	vḛ²¹	挑担（使动）。
었	D0-10805	vḛ²¹	猪；亥。
엉	D0-11001	vḛ²¹	挑（自动）。
엊	D0-11002	vɛ⁵⁵	横（向）。
엋	D0-11003	vɛ⁵⁵	过（往）。
엌	D0-11004	vɛ³³	围。
엍	D0-11005	vɛ²¹	客。
엎	D0-11101	vɛ²¹	购；买。
엏	D0-11102	vɛ²¹	圆。
에	D0-11103	vɛ²¹	暮；昏；傍晚。
엑	D0-11104	vɛ²¹	次；转；回（量词）。
엒	D0-11105	væ̰³³	搂。
엓	D0-11106	væ̰³³	耷；垂。
엔	D0-11107	væ̰³³	灰心。
엕	D0-11108	væ̰³³	鹰。
엖	D0-11109	væ̰²¹	搓。
엗	D0-11110	vᴀ³³	盘旋。
엘	D0-11111	vᴀ³³	蝠。
엙	D0-11112	vᴀ³³	窥探。
엚	D0-11113	vᴀ²¹	网。
엛	D0-11114	vᴀ²¹	枉。
엜	D0-11201	vu⁵⁵	谢。
엝	D0-11202	vu⁵⁵	雁。
엞	D0-11203	vu³³	疯。
쐖	D0-11204	vu³³/ʔu³³	头；首。
엠	D0-11205	vu²¹	肠。
엡	D0-11301	vu²¹	故。
엢	D0-11302	vṵ²¹	窄。
엣	D0-11303	vṵ²¹	瞪（眼）。
엤	D0-11304	vṵ²¹	婿。
엥	D0-11305	vɤ⁵⁵	分。
엦	D0-11306	vɤ³³	远；遥。
엧	D0-11307	vɤ³³	桃。
엨	D0-11308	vɤ̰³³	脆生。
엩	D0-11309	vɤ²¹	秋千。
씓	D0-11310	vɤ²¹	严。
엫	D0-11401	vɤ²¹	稳；诚实。
여	D0-11501	ti⁵⁵	推。
역	D0-11502	ti⁵⁵	槛。
엮	D0-11503	ti⁵⁵	定；订。
엯	D0-11504	ti⁵⁵/pʰe²¹	吐。
연	D0-11505	ti⁵⁵/ti³³/ti²¹	di。【地表】，【地板】…
엱	D0-11801	ti³³	十一（专用数）。
엲	D0-11802	tḭ³³	鳞；甲。
엳	D0-11803	tḭ³³	次；转；回；趟。
열	D0-11804	tḭ³³	浸；泡；淋。
엵	D0-11805	tiæn⁵⁵/tiæn³³/tiæn²¹	dian。【电报】，【电表】…
엶	D0-12201	tiɑu⁵⁵/tiɑu³³	diao。【吊车】，【吊带】…
엷	D0-12301	tiɛ³³/tiɛ²¹	die。【跌幅】，【跌势】…
